start_ts,ttft_ms,itl_mean_ms,total_ms,n_output_tokens,ok
1781489781.1179643,104.43496704101562,16.82450430733817,693.2926177978516,40,True
1781489781.1078432,101.51124000549316,17.98762926241247,839.0040397644043,46,True
1781489781.2239401,147.4936008453369,15.74013872844417,792.8392887115479,46,True
1781489781.13576,65.33670425415039,16.719865798950195,901.3299942016602,52,True
1781489781.2919543,114.86458778381348,15.302874321161314,772.88818359375,48,True
1781489781.2234228,147.45855331420898,16.088815445595596,903.6328792572021,52,True
1781489781.7927408,143.77665519714355,14.455938339233398,360.61573028564453,20,True
1781489781.6328325,54.45241928100586,19.4746766771589,599.7433662414551,33,True
1781489781.301831,69.05031204223633,16.571049506847675,930.7448863983154,54,True
1781489781.717719,154.7708511352539,17.0979102452596,565.1206970214844,29,True
1781489781.7172027,74.0056037902832,18.900068600972492,641.007661819458,32,True
1781489781.67835,58.73894691467285,19.461884218103744,720.4430103302002,39,True
1781489781.9575977,59.70454216003418,17.16109275817871,488.73186111450195,30,True
1781489781.8639755,93.109130859375,16.67442742516013,660.0396633148193,39,True
1781489781.7922235,144.29402351379395,16.159979072777002,742.213249206543,42,True
1781489781.5294816,70.57642936706543,16.648197174072266,1069.4682598114014,62,True
1781489782.0278795,99.17616844177246,17.119161784648895,646.9893455505371,37,True
1781489782.3696437,66.12038612365723,16.585286458333336,314.8996829986572,20,True
1781489782.1443756,99.84993934631348,16.14224910736084,551.832914352417,33,True
1781489781.864491,61.391353607177734,16.048461198806763,831.7174911499023,50,True
1781489781.737618,187.7577304840088,16.002557715591117,971.8830585479736,54,True
1781489782.0551016,63.095808029174805,16.894062360127766,772.646427154541,44,True
1781489782.2442255,113.47842216491699,16.563071924097397,676.6228675842285,39,True
1781489782.5354583,72.85857200622559,18.20884252849378,418.8265800476074,24,True
1781489782.1700654,93.90091896057129,16.68174493880499,794.5342063903809,47,True
1781489782.293345,64.8653507232666,15.830230712890625,698.0745792388916,42,True
1781489782.117154,62.19887733459473,17.519307136535645,938.164234161377,55,True
1781489782.4565942,55.971384048461914,16.58752891752455,653.1224250793457,38,True
1781489782.4089894,56.665658950805664,17.236948013305664,711.6696834564209,43,True
1781489782.2447395,113.99126052856445,16.21124084959639,875.9195804595947,52,True
1781489782.685589,111.69123649597168,14.90237401879352,454.44583892822266,28,True
1781489782.72605,101.69816017150879,18.994362457938816,538.5684967041016,28,True
1781489782.5494516,68.94731521606445,19.06179700578962,736.1102104187012,40,True
1781489782.6088333,66.03550910949707,16.974879474174685,762.0055675506592,43,True
1781489782.6951737,111.7856502532959,16.42481940133231,686.6543292999268,40,True
1781489782.7100184,107.32102394104004,16.602607334361355,671.8096733093262,39,True
1781489782.8374681,62.06870079040527,16.57801866531372,658.8773727416992,38,True
1781489782.965629,107.39493370056152,16.681891221266525,541.1241054534912,31,True
1781489783.1304166,145.78795433044434,14.156846439137178,386.45434379577637,22,True
1781489782.7100184,107.32102394104004,16.92096554503149,936.448335647583,54,True
1781489783.2762046,64.04972076416016,16.08930136028089,369.74644660949707,24,True
1781489783.073024,56.88142776489258,18.34537766196511,662.2788906097412,38,True
1781489782.9312935,59.62228775024414,18.169676385274748,804.5790195465088,46,True
1781489783.121173,79.51951026916504,17.0598104596138,625.4334449768066,34,True
1781489783.0463457,62.85214424133301,18.002638002721277,800.9603023529053,46,True
1781489783.3926964,103.64913940429688,17.655259086972194,474.4095802307129,26,True
1781489783.391678,104.66742515563965,17.665061083706945,493.2987689971924,27,True
1781489783.1996634,103.07979583740234,17.46269276267604,766.6621208190918,43,True
1781489783.3039212,56.51974678039551,18.1047986535465,672.0829010009766,39,True
1781489783.1318588,144.34576034545898,17.539019054836697,933.6016178131104,50,True
1781489783.5718498,64.07618522644043,18.666715621948242,530.7440757751465,30,True
1781489783.381828,102.77748107910156,17.803817181973844,761.5187168121338,42,True
1781489783.516871,108.86526107788086,17.41379307162377,648.6928462982178,36,True
1781489782.9754252,70.40143013000488,17.43118192108584,1308.0153465270996,73,True
1781489783.8583562,107.4666976928711,15.548210144042969,496.1719512939453,30,True
1781489783.5072694,64.58044052124023,16.396123535779058,867.9904937744141,51,True
1781489783.6577334,97.84340858459473,17.77865384754382,773.4322547912598,43,True
1781489783.7560976,101.74369812011719,17.389311934962418,675.590991973877,38,True
